Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-26,16:56:37,11,48,"17.4 Kbps","11.6 Kbps","0 KB/s","183.2 KB/s"
2025-12-26,16:56:39,13,47,"0.8 Kbps","1.7 Kbps","4.5 KB/s","24.3 KB/s"
2025-12-26,16:56:42,15,47,"4.5 Kbps","1.9 Kbps","3.9 KB/s","122.3 KB/s"
2025-12-26,16:56:44,13,47,"3.7 Kbps","1.2 Kbps","4.5 KB/s","3.1 MB/s"
2025-12-26,16:56:46,13,48,"9.1 Kbps","10.6 Kbps","0 KB/s","39.8 KB/s"
2025-12-26,16:56:48,13,48,"11.6 Kbps","12.7 Kbps","68.4 KB/s","192.3 KB/s"
2025-12-26,16:56:51,13,48,"2.5 Kbps","2.8 Kbps","7.9 KB/s","736.9 KB/s"
2025-12-26,16:56:53,13,47,"0.1 Kbps","0.9 Kbps","0 KB/s","131.5 KB/s"
2025-12-26,16:56:56,13,47,"0.5 Kbps","2.0 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:56:58,12,47,"0.4 Kbps","1.4 Kbps","0 KB/s","308.8 KB/s"
2025-12-26,16:57:00,12,47,"9.0 Kbps","9.4 Kbps","0 KB/s","75.9 KB/s"
2025-12-26,16:57:02,11,47,"9.0 Kbps","9.4 Kbps","0 KB/s","75.8 KB/s"
2025-12-26,16:57:05,12,47,"0.0 Kbps","0.7 Kbps","0 KB/s","103.4 KB/s"
2025-12-26,16:57:07,13,47,"10.2 Kbps","11.9 Kbps","0 KB/s","265.6 KB/s"
2025-12-26,16:57:10,12,47,"10.6 Kbps","11.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:57:11,10,47,"0.4 Kbps","0.5 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:57:14,11,47,"0.2 Kbps","0.2 Kbps","4.5 KB/s","28.4 KB/s"
2025-12-26,16:57:16,12,47,"0.5 Kbps","5.6 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:57:19,12,47,"41.3 Kbps","38.1 Kbps","4.5 KB/s","160.3 KB/s"
2025-12-26,16:57:21,14,47,"44.6 Kbps","36.8 Kbps","62.9 KB/s","91.1 KB/s"
2025-12-26,16:57:24,13,47,"8.3 Kbps","9.8 Kbps","4.5 KB/s","96.5 KB/s"
2025-12-26,16:57:25,13,48,"5.2 Kbps","6.6 Kbps","8.0 KB/s","9.0 MB/s"
2025-12-26,16:57:28,14,47,"0.0 Kbps","0.6 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,16:57:30,13,47,"0.0 Kbps","0.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:57:33,16,47,"0.3 Kbps","1.0 Kbps","0 KB/s","40.3 KB/s"
2025-12-26,16:57:35,19,47,"0.4 Kbps","1.4 Kbps","4.5 KB/s","32.4 KB/s"
2025-12-26,16:57:37,15,47,"0.1 Kbps","0.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:57:39,11,47,"1.1 Kbps","1.8 Kbps","4.5 KB/s","3.2 MB/s"
2025-12-26,16:57:42,11,47,"7.4 Kbps","2.5 Kbps","0 KB/s","91.7 KB/s"
2025-12-26,16:57:44,14,47,"9.3 Kbps","1.5 Kbps","4.5 KB/s","522.3 KB/s"
2025-12-26,16:57:47,15,47,"3.2 Kbps","1.0 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:57:49,12,47,"0.1 Kbps","0.5 Kbps","0 KB/s","168.3 KB/s"
2025-12-26,16:57:51,9,47,"1.7 Kbps","0.0 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:57:53,8,47,"10.1 Kbps","1.5 Kbps","0 KB/s","4.0 KB/s"
2025-12-26,16:57:56,8,47,"20.5 Kbps","10.0 Kbps","158.8 KB/s","3.1 MB/s"
2025-12-26,16:57:58,11,47,"48.3 Kbps","50.5 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:58:01,14,47,"58.8 Kbps","48.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:58:02,13,47,"21.9 Kbps","5.7 Kbps","99.8 KB/s","0 KB/s"
2025-12-26,16:58:05,14,48,"25.4 Kbps","19.2 Kbps","0 KB/s","353.4 KB/s"
2025-12-26,16:58:07,18,48,"27.3 Kbps","25.2 Kbps","2.2 MB/s","42.8 KB/s"
2025-12-26,16:58:10,28,48,"36.5 Kbps","403.4 Kbps","4.4 KB/s","47.8 KB/s"
2025-12-26,16:58:12,28,48,"34.5 Kbps","393.5 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,16:58:15,17,48,"8.5 Kbps","19.7 Kbps","4.5 KB/s","84.0 KB/s"
2025-12-26,16:58:16,13,48,"9.4 Kbps","19.0 Kbps","31.8 KB/s","3.3 MB/s"
2025-12-26,16:58:19,12,48,"41.9 Kbps","24.9 Kbps","4.4 KB/s","3.4 MB/s"
2025-12-26,16:58:21,14,48,"41.7 Kbps","24.9 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:58:24,13,48,"0.4 Kbps","0.5 Kbps","0 KB/s","4.0 KB/s"
2025-12-26,16:58:26,16,48,"0.5 Kbps","0.5 Kbps","212.8 KB/s","243.1 KB/s"
2025-12-26,16:58:28,20,48,"8.2 Kbps","11.3 Kbps","0 KB/s","206.5 KB/s"
2025-12-26,16:58:30,16,48,"16.3 Kbps","15.0 Kbps","4.5 KB/s","198.8 KB/s"
2025-12-26,16:58:33,12,48,"8.4 Kbps","4.3 Kbps","10.8 MB/s","523.7 KB/s"
2025-12-26,16:58:35,12,48,"0.6 Kbps","0.8 Kbps","4.4 KB/s","3.2 MB/s"
2025-12-26,16:58:38,18,48,"3.3 Kbps","3.4 Kbps","32.0 KB/s","220.1 KB/s"
2025-12-26,16:58:39,19,48,"5.5 Kbps","3.7 Kbps","4.5 KB/s","3.6 MB/s"
2025-12-26,16:58:43,15,48,"39.8 Kbps","23.3 Kbps","15.8 KB/s","67.1 KB/s"
2025-12-26,16:58:44,13,48,"37.3 Kbps","22.8 Kbps","0 KB/s","19.7 KB/s"
2025-12-26,16:58:47,13,48,"4.1 Kbps","4.6 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,16:58:49,16,48,"3.8 Kbps","4.1 Kbps","0 KB/s","39.6 KB/s"
2025-12-26,16:58:52,12,48,"0.1 Kbps","0.5 Kbps","0 KB/s","27.8 KB/s"
2025-12-26,16:58:54,11,48,"0.2 Kbps","1.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:58:56,11,48,"0.3 Kbps","2.1 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:58:58,11,48,"0.2 Kbps","1.1 Kbps","0 KB/s","28.0 KB/s"
2025-12-26,16:59:01,11,48,"0.6 Kbps","1.3 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:59:03,10,48,"0.6 Kbps","1.3 Kbps","0 KB/s","15.8 KB/s"
2025-12-26,16:59:06,10,48,"27.9 Kbps","17.5 Kbps","0 KB/s","27.8 KB/s"
2025-12-26,16:59:07,9,48,"35.3 Kbps","19.0 Kbps","0 KB/s","3.1 MB/s"
2025-12-26,16:59:10,9,48,"11.8 Kbps","2.2 Kbps","4.5 KB/s","3.5 MB/s"
